track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists
Ditto,NewJeans,1,2022,12,19,1154,22,397582059,28
Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,34
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,22
Acr��s,Shakira,1,2023,5,11,955,29,123124076,37
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,12
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44
Abcdario,"Junior H, Eden Mu��",2,2023,5,13,262,5,89933133,8
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10
Pi��man De�,"Semicenk, Do��u ",2,2023,6,2,185,3,43522589,5
FLOWER,JISOO,1,2023,3,31,839,18,232896922,20
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,5
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,116
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,47
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314,41
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,29
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,10
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1
Players,Coi Leray,1,2022,11,30,4096,6,335074782,118
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,23
Normal,Feid,1,2022,7,8,2461,36,459276435,47
